word	furigana	meaning
口頭	こうとう	구두, 입으로 말함
失敗	しっぱい	실패
伝える	つたえる	전달하다
繰り返す	くりかえす	반복하다
新しい	あたらしい	새롭다
お腹すいた	おなかすいた	배고프다
情報	じょうほう	정보
結婚	けっこん	결혼
正しい	ただしい	옳다, 맞다, 바르다
自分	じぶん	나, 스스로, 혼자
決る	きまる	정해지다, 결정되다
双方	そうほう	쌍방
知る	しる	알다
同意	どうい	동의
言い方	いいかた	말투
面倒	めんどう	귀찮음, 성가심
間違う	まちがう	틀리다, 잘못되다
増える	ふえる	늘다
自覚	じかく	자각
一緒	いっしょ	함께
訂正	ていせい	정정
好きだ	すきだ	좋아하다
連絡	れんらく	연락
楽しい	たのしい	즐겁다
覚える	おぼえる	기억하다
困る	こまる	곤란하다
反省	はんせい	반성
買う	かう	사다, 구매하다
二度と	にどと	두번 다시, 다시는
戻る	もどる	되돌아가다
分かる	わかる	알다, 이해하다
詮索	せんさく	물어보고 알아내려 함, (정보를) 캐내다
奥様	おくさま	부인, 사모님, 안주인
同情	どうじょう	동정
魔女	まじょ	마녀
幸せ	しあわせ	행복하다
古い	ふるい	오래되다, 낡다
毎日	まいにち	매일
深い	ふかい	깊다
楽しい	たのしい	즐겁다
考える	かんがえる	생각하다
仕事	しごと	일
未婚	みこん	미혼
任す	まかす	맡기다
生きやすい	いきやすい	살기 편하다/쉽다
部下	ぶか	부하
歳	とし	나이
教育	きょういく	교육
原因	げんいん	원인
嬉しい	うれしい	기쁘다, (감사하다)
簡単	かんたん	간단
掃除	そうじ	청소
洗濯	せんたく	세탁
今週	こんしゅう	이번주
天気	てんき	날씨
悪い	わるい	나쁘다, 안 좋다
土日	どにち	토일(요일)
雨	あめ	비, 비가 내리다
予報	よほう	예보
自分	じぶん	나, 스스로
意外	いがい	의외
家事	かじ	가사일, 집안일
下着	したぎ	속옷
入る	はいる	들다, 들어오다, 들어 있다
省く	はぶく	생략하다, 빼다
洗う	あらう	씻다
気にしない	きにしない	신경쓰지 않는다
雇用主	こようぬし	고용주
方	かた、ほう	~분(사람의 높임표현)
年下	としした	연하
心理学	しんりがく	심리학
役に立つ	やくにたつ	도움이 되다
嫌う	きらう	싫어하다, 미워하다
大丈夫	だいじょうぶ	괜찮다
線引き	せんびき	선 긋기, 구분 짓기
何となく	なんとなく	어찌저찌, 어쩐지, 대충
先週	せんしゅう	지난주
買う	かう	사다, 구입하다
買い物	かいもの	장보기, 쇼핑
代金	だいきん	대금, 요금, 금액
違う	ちがう	다르다
毎回	まいかい	매번
一カ所	いっかしょ	한 곳, 한군데
多く	おおく	많이
時間内	じかんない	시간 내
網戸	あみど	방충망
石鹸水	せっけんすい	비눗물
伝線	でんせん	올이 나가다
臨時	りんじ	임시
～に過ぎない	～にすぎない	~에 지나지 않다
週	しゅう	주 (이번 주~)
一度	いちど	한번
月収	げっしゅう	월 수입
換算	かんさん	환산
続ける	つづける	계속하다
希望	きぼう	희망
叶う	かなう	이루다, 희망대로 되다
懸命に	けんめいに	열심히, 최선을 다해서
働く	はたらく	일하다
気づく	きづく	깨닫다, 알아차리다
努力	どりょく	노력
頑張る	がんばる	열심히 하다
大切	たいせつ	중요
流儀	りゅうぎ	방법, 방식, 스타일
