word	furigana	meaning
試算	しさん	미리 계산하다
家賃	やちん	집세
水道	すいどう	수도(수도세)
光熱費	こうねつひ	광열비=전기세
等	とう, など	등, etc.
生活費	せいかつひ	생활비
折半	せっぱん	절반
場合	ばあい	경우
収支	しゅうし	수지(수입과 지출)
食事	しょくじ	식사
作る	つくる	만들다
外食	がいしょく	외식
比較	ひかく	비교
専業主婦	せんぎょうしゅふ	전업주부
年間	ねんかん	연간
無償労働	むしょうろうどう	무상노동
年収	ねんしゅう	연수입
換算	かんさん	환산
時給	じきゅう	시급
算出	さんしゅつ	산출
一日	いちにち	1일
月給	げっきゅう	월급
差し引く	さしひく	빼다, 제하다
手取り	てどり	실수령액
健康保険	けんこうほけん	건강보험
扶養手当	ふようてあて	부양 수당
有効利用	ゆうこうりよう	유효이용 (유용하게 이용하다 = 사용하다)
事実婚	じじつこん	사실혼
提案	ていあん	제안
戸籍	こせき	호적
籍	せき	적=호적
住民票	じゅうみんひょう	주민표, 주민등록증
移す	うつす	이동하다, 옮기다
方法	ほうほう	방법
諸条件	しょじょうけん	여러 조건
話し合う	はなしあう	서로 이야기하다
必要	ひつよう	필요
結果	けっか	결과
形	かたち	형태
住む	すむ	살다
給与	きゅうよ	급여
雇用	こよう	고용
有意義	ゆういぎ	의의가 있다, 의미 있다, 가치 있다
結論	けつろん	결론
達する	たっする	달하다, 이르다
