word	meaning
れる、られる	당하다, 받다
[동사]+て	~하고, ~해서
[형용사]+さ	형용사의 명사화: 高い(높다) → 高さ(높이)
～ている	~하고 있다 (동작 중, 혹은 상태의 지속, 혹은 이미 끝나 있음)
～てる	~하고 있다
～以上(は)	~한 이상
[동시]+た	~한 (동작 완료, 혹은 과거의 동작이나 작용, 혹은 상태의 지속) かける(걸리다) → かけた(걸려 있다)
～という	~라고 한다
[명시]+として	~로서
～上で	~한 후에
～とは	~이라니
～って, ～と, ～という	~라고, ~라는
てことは	~라는 것은 (=っていうこと, ということは)
(<A>に) <B>れちゃう	A에게 B 당하다, A에게 B 당해 버리다
(종조사) ～さ	~이지, ~말이야.
～はずだ	~임에 틀림없다, ~일 터이다, ~이다
～ので	~이므로, ~이기 때문에
～ないで(ください)	~하지 말아(주세요)
～たら	조건, 동작의 연속: ~하니, ~하자.
～てもらう	~를 (해서) 받다. (물건/행위를 받는 사람을 주어로 하는 수수 표현)
～ようだ (～ような)	비유: ~인 것 같다, ~와 같다
案外	(부사) 의외로.
意外	(형용사) 의외이다. 생각이나 예상하지 못한 것.
[동사]+せる、[동사]+させる	~하게 하다, ~시키다
～させてもらいます	하겠습니다. (공존: ～します < ～させてもらいます < ～させていただきます)
それっきり	그대로 끝. (=それかぎり, それだけ)
～ずに済む	~하는 것 없이 끝내다(완료하다), ~하지 않아도 된다
～ように	비유, 요청: ~처럼, 희망사항: ~가 되기를
～てみる	~를 해 보다
けど	~입니다만, ~이지만 (=～が)
~からには	~한 이상, 어차피 ~한다면
