word	meaning
午後から晴れるって。	오후부터 맑을 거야.
これ、2000円だって。安いでしょう？	이거, 2000 엔이래. 싸지?
自由ってなんだろう。	자유란 무엇인가?
結婚ってのは人生ですごく大事なことだ。	결혼이라는 것은 인생에서 정말 중요한 것이다.
「あびこ」っていうカレー屋、知ってる？	'아비꼬'라는 카레 가게, 알고 있니?
私は村上春樹って作家が書いた『海辺のカフカ』っていう小説が一番好きです。	나는 무라카미 하루키라는 작가가 쓴 '해변의 카프카'라는 소설을 가장 좋아합니다.
早く話せ！	빨리 말해!
明日、必ず来いよ。	내일 반드시 오렴.
俺の実力をよく見ろ…	내 실력을 잘 봐라.
犬に手を噛まれちゃいました。	강아지에게 손을 물려 버렸습니다.
今日、部長に怒られちゃって。	오늘, 부장에게 혼났습니다. (화남을 당했습니다.)
俺、親に捨てられちゃったからね。	나, 부모에게 버려져 버렸으니까.
参ってしまった。	곤란해져 버렸다.
そんなこと、当り前さ。	그런 거 당연하단 말이야.
これが男っていうものさ。	이것이 남성이라는 것이지 말이야.
心配することはないさ。	걱정하는 건 아니지 말이야.
そう言ったはずなのに！	그렇게 말했을 터인데!
5時のバスに乗ると言ってたから、もう家を出たはずですよ。	5시 버스를 타겠다고 말했으니까, 이미 집을 나왔을 것이 틀림없습니다.
今のスピードなら、あそこには4時までに着くはずです。	지금의 속도라면 그곳에 4시까지 도착할 것임이 틀림없다.
高いワインなので、おいしいはずです。	비싼 와인이니까, 당연히 맛있을 것이다.
今、大きい台風がきているから、あしたは休校になるはずです。	지금 큰 태풍이 오고 있기 때문에, 내일은 휴교일 것임에 틀림없다.
コーヒーが好きなので、毎日飲んでいる。	커피가 좋아서 매일 마시고 있다.
明日は休みなので、デートするつもりです。	내일은 휴가이기 때문에 데이트를 할 생각입니다.
寒いので、窓を閉めてください。	추우니까 창문을 닫아 주세요.
バスに乗らないでタクシーに乗ってください。	버스를 타지 말고 택시를 타 주세요.
そんなこと、言わないでください。	그런 말 하지 말아 주세요.
辞書を見ないでください。	사전을 보지 말아 주세요.
窓を開けたら、冷たい風が入ってきた。	창문을 열었더니 차가운 바라이 불어 왔다.
家でテレビを見ていたら、宅配便が届いた。	집에서 TV를 보고 있었더니 택배가 도착했다.
これは兄にもらったネクタイです。	이건 형에게 받은 넥타이입니다.
コーヒーを買ってもらった。	커피를 사 줬다.
日本語を教えてもらった。	일본어를 가르침 받았다.
