word	meaning
あなたが行くなら、私も行きたいです。	당신이 간다면 저도 가고 싶습니다.
荷物が多いなら車で行ったほうがいいですよ。	짐이 많으면 차로 가는 게 좋아요.
田中さんなら、さっき出かけました。	타나카 씨라면 아까 나갔어요.
母さん、スマホなら、ここにあるよ。	엄마, 핸드폰이면 여기 있어.
日本に行くなら、日本語の勉強をしてください。	일본에 간다면, 가기 전에 일본어 공부를 해 주세요.
日本に行ったら、日本語の勉強をしてください。	일본에 가면, 가서 일본어 공부를 해 주세요.
二月より三月のほうがかえって(むしろ)寒かった。	2월보다 3월이 오히려 추웠다.
株でもうけようとしたが、かえって損した。	주식으로 벌려고 했지만 오히려 손해를 보았다.
強い男性より、むしろ優しい男性が好きだ。	강한 남자보다 오히려 착한 남자가 좋다.
彼と結婚するくらいなら、いっそ、死んだ方がましだ。	그와 결혼할 바에는 차라리 죽는 편이 낫다.
日本人だといっても、みんな漢字が読めるわけではない。	일본인이라고 해서 모두 한자를 읽을 수 있는 것은 아니다.
日本で暮したことがあるといっても、実は一ヶ月だけなんです。	일본에서 살아본 적이 있다고 해도 사실 한 달뿐입니다.
科目の中では、数学とか物理とかの理科系の科目が得意です。	과목 중에서는 수학이라든지 물리라든지 하는 이과계 과목이 특기입니다.
分からないところは、詳しい人に聞くとか、ネットで調べるとかしてください。	모르는 부분은 잘 아는 사람에게 묻거나 인터넷으로 조사하거나 해 주세요.
好きだとか嫌いだとか言わないで、ちゃんと食べなさい。	좋아한다느니 싫다느니 하지 말고 제대로 먹으세요.
彼、有名な作家だとか?何とかの賞を取ったとか?言ってましたよ。	그 사람 유명한 작가라던가? 무슨 상을 받았다던가? 하던데요.
わかっちゃいる	알고는 있다 (=わかってはいる)
思っちゃって	생각해 버려서 (=思ってしまって)
嬉しくなっちゃって	기뻐져 버려서 (=嬉しくなってしまって)
彼にそばにいてほしい。	그가 옆에 있어 줬으면 좋겠다.
あなたに調べてほしいことがある。	당신이 알아봐줬으면 하는 것이 있다.
君たちに手伝って欲しいんだけど。	너희들이 도와줬으면 좋겠는데.
