word	meaning
私の経験に基づいて、意見を述べたいと思います。	제 경험을 바탕으로 의견을 밝히고 싶습니다.
この小説は、歴史的事実に基づいて書かれたものです。	이 소설은 역사적 사실에 기반하여 쓰여진 것입니다.
これは、たくさんの実験データに基づいた科学的な事実です。	이것은 많은 실험 데이터에 기반한 과학적인 사실입니다.
暖かくなると、桜の花が咲きます。	따뜻해지면, 벚꽃이 피어요.
外国語が上手だと、いろいろな仕事ができます。	외국어를 잘하면, 여러 가지 일을 할 수 있습니다.
この道を右に曲がると、駅が見えます。	이 길에서 오른쪽으로 꺾으면, 역이 보입니다.
夜、お腹がすくと、ラーメンを食べます。	밤에 배가 고프면, 라면을 먹습니다.
援助を受けられるかどうかは、この仕事の結果次第です。	원조를 받을 수 있는지 여부는 이 일의 결과에 달려 있습니다.
言葉の使い方次第で、相手を怒らせることも、喜ばせることもある。	말의 사용법에 따라 상대방을 화나게 할 수도, 기쁘게 할 수도 있다.
天気次第で、一日の予定を決めます。	날씨에 따라 하루 계획을 잡겠습니다.
考え方次第では、苦しい経験も貴重な財産になれる。	생각의 방식에 따라, 고통스러운 경험도 귀중한 재산이 될 수 있다.
サボる	수업에 빠지는 것, 땡땡이
ググる	구글에 검색하다
ヤフる	야후에 검색하다
メモる	메모하다
コピる	복사하다
ダブる	중복되다
ハモる	조화를 이루다
パニクる	패닉에 빠지다
バズる	SNS에서 주목받거나 말이 퍼지다
愛し合う	서로 사랑하다
話し合う	서로 이야기하다
奪い合う	서로 빼앗다
殴り合う	서로 때리다, 서로 치고 받다.
