word	meaning
この施設は、お年寄りに対してほんとうにやさしい。	이 시설은 노인들에게 정말 친절하다.
今の発言に対して、意見のある方は手を上げてください。	지금 발언에 대해 의견이 있으신 분은 손을 들어주세요.
彼に対するわたしの気持ちは昔も今も変わりません。	그에 대한 나의 마음은 예나 지금이나 변함이 없습니다.
迷子を探す。	미아를 찾다.
今回の会議で使う資料を探す。	이번 회의에서 사용할 자료를 찾는다.
彼女に誕生日プレゼントをするために、バイトを探す。	그녀에게 생일 선물을 주기 위해 아르바이트를 찾는다.
この事件の真相を探る。	이 사건의 진상을 살피다.
最適なタイミングを探る。	최적의 타이밍을 찾다.
バッグの中を探ったが見つからなかった。	가방 속을 뒤졌지만 찾을 수 없었다.
やりがいのある仕事がしたい。	보람 있는 일을 하고 싶다.
「生きがい」と仕事の関係について調べました。	'삶의 보람'과 일의 관계에 대해서 조사했어요.
たとえ雨が降っても、授業は休めません。	비록 비가 와도 수업은 쉴 수 없어요.
たとえお金がなくても、幸せになれる方法はいくらでもある。	비록 돈이 없어도 행복할 수 있는 방법은 얼마든지 있다.
たとえその噂が事実だとしても、私は彼を信じています。	비록 그 소문이 사실이라고 해도 나는 그를 믿어요.
見て見ない振りをする。	못 본 체하다.
お金持ちの振りをする。	부자인 체하다.
嫌でも好きな振りをする。	싫어도 좋아하는 체하다.
こちらこそ失礼します。	저야말로 실례하겠습니다.
この問題こそ、重要なんだ。	이 문제야말로 중요한 거야.
あなたを思っているからこそ厳しく言うんです。	당신을 생각하기 때문에 엄하게 말하는 거예요.
今年こそ合格してみせる。	올해야말로 합격해 보이겠다.
今にも雨が降りそうですね。	금방이라도 비가 올 것 같네요.
彼はとても優しそうな顔をしている。	그는 매우 상냥한 얼굴을 하고 있다.
昨日、母に花をプレゼントしたら、とてもうれしそうでした。	어제 어머니께 꽃을 선물했더니 너무 기뻐 보였어요.
元気そうで、何よりです。	건강해 보여서 다행이에요.
そのラーメンはあまり辛くなさそうだ。	그 라면은 별로 맵지 않을 것 같아.
