word	meaning
堀内さんからのメールには、５時までと書いてありました	호리우치 씨로부터의 메일에는, 5시까지라고 적혀 있었습니다
でも昨日、口頭で15時までって伝えました。	하지만 어제, 구두로 15시까지라고 전달했어요.
新しい情報の方が正しいに決まってます	새로운 정보가 당연히 더 정확하죠.
知らねえよそんなの	몰라, 그런 거
なにその言い方	뭐야 그 말투는?
ハイハイ、そこまで。	그래 그래, 거기까지
堀内さん、送ったメールが間違ってたっていう自覚はあったのよね。	호리우치 씨, 보낸 메일이 잘못됐다는 자각은 있었던 거지?
だったら、訂正連絡として、正しい時間を伝えること。	그러면 정정 연락으로 올바른 시각을 전해야지
梅原君、私からも15時までって話はしました。	우메하라 군, 나도 15시까지라고 이야기는 했어요
覚えられないならメモをとりなさい。	기억을 못 할 것 같으면 메모를 하세요
二人とも良く反省をして、二度と同じ失敗を繰り返さないように。	두 사람 다 제대로 반성하고 두 번 다시 같은 실수를 반복하지 않도록
はい、お腹すいた。	자, 배고프다
食べよう	먹자
いただきます	잘 먹겠습니다
それじゃ風見さんは、私と結婚するつもりないってことですか	그러면 카자미 씨는 저랑 결혼할 생각이 없다는 건가요?
なんて言うかな。	뭐랄까
結婚って、何のメリットがあるんだろう。	결혼이 무슨 메리트가 있지?
今まで自分一人で決められたことが、双方の同意がなければできなくなる。	지금까지 자기 혼자서 결정할 수 있었던 것들을 쌍방의 동의가 없으면 할 수 없게 돼
面倒が増えるだけじゃないかな	성가신 게 늘어나는 것뿐 아닐까?
私と一緒にいるのが面倒なんですか	나랑 같이 있는 게 성가셔요?
君のことは好きだし、一緒にいる分には楽しい	너는 좋아하고 같이 있는 동안에는 즐거워
だったら	그럼
じゃあ、君はさ、なくても困らないものを、わざわざ買う？ごめん、戻らないと	그럼 너는 말이야, 없어도 곤란하지 않은 걸 일부러 사?
うん？今のわかんないの？『奥様は魔女』のパロディ。	음? 지금 그거 몰라? '아내는 요술쟁이'의 패러디.
私が子供の時のアメリカドラマ	내가 어릴 때 했던 미국 드라마
古すぎてわかんないよ	너무 오래된 거라 몰라
ああ、こんなことなら深く考えずに、さっさと結婚しとけばよかった。	아, 이럴 줄 알았으면 깊게 생각하지 말고 얼른 결혼해둘 걸 그랬어
未婚よりバツイチの方が生きやすかったって思うんだのよね。	미혼보다는 돌싱녀가 더 살기 편했을 거라고 생각해
この歳まで一人だとさ、何が原因かとか、ほかの人に詮索されるし。	이 나이까지 혼자면 뭐가 원인인가 하고 남들이 캐내려고 든단 말이야
あ、同情とかやめてね。	아, 동정 같은 건 하지 마
私は、それなりに幸せだし、毎日楽しくやってるんだから	나는 그런대로 행복하고 매일 즐겁게 보내고 있으니까
うん、私百合ちゃんうらやましいもん。	응, 나는 유리 짱이 부러운걸
好きな仕事して、プロジェクト任されて、部下の教育まで任されて	좋아하는 일을 하고 프로젝트도 맡고 부하의 교육까지 맡고 있잖아
それは、嬉しくない	그건 기쁘지 않아
へ？だって、それって、百合ちゃんが会社に必要とされてるってことじゃん！	하지만 그건 회사에서 유리 짱을 필요로 한다는 거잖아
