word	furigana	meaning
問題	もんだい	문제
幸せだ	しあわせだ	행복하다
結婚式	けっこんしき	결혼식
姿	すがた	모습
両親	りょうしん	(나의) 부모님
見せつける	みせつける	(일부러) 보이다, 과시하다
当然	とうぜん	당연
納得	なっとく	납득
雰囲気	ふんいき	분위기
見事だ	みごとだ	훌륭하다
実体	じったい	실태
突き放す	つきはなす	내치다, 뿌리치다
雇用関係	こようかんけい	고용관계
極端	きょくたん	극단
挙式	きょしき	식을 올리다
~派	~は	~파
披露宴	ひろうえん	피로연
世間	せけん	세간, 세상, 사람들
避ける	さける	피하다, 꺼리다
宣言	せんげん	선언
同感	どうかん	동감
儀式	ぎしき	의식
ご祝儀	しゅうぎ	축의금
簡単	かんたん	간단
受け取る	うけとる	받다
覚悟	かくご	각오
会社	かいしゃ	회사
説得力	せっとくりょく	설득력
問い詰める	といつめる	캐묻다, 끈질기게 묻다
基本的	きほんてき	기본적
意見交換会	いけん こうかんかい	의견 교환회(모임)
裏を返す	うらをかえす	안팎을 뒤집다
裏を返せば	うらをかせば	뒤집어 생각하면(말하자면)
異論	いろん	이론
相応	そうおう	상응
反論	はんろん	반론
会食	かいしょく	회식, 식사모임
主役	しゅやく	주역, 주인공, 주연
進める	すすめる	앞으로 나아가다 < 진행하다
楽しい	たのしい	즐겁다
納得	なっとく	납득
参考	さんこう	참고
双方	そうほう	쌍방
自己満足	じこまんぞく	자기만족
