word	furigana	meaning
集計	しゅうけい	집계
頼む	たのむ	부탁하다
心がける	こころがける	유의하다, 마음을 쓰다
正確さ	せいかくさ	정확함
迅速さ	じんそくさ	신속함
時給	じきゅう	시급
以上	いじょう	이상
時間内	じかんない	시간 내
最大限	さいだいげん	최대한
思う	おもう	생각하다
心理学	しんりがく	심리학
学ぶ	まなぶ	공부하다, 배우다
派遣社員	はけんしゃいん	파견사원
事務	じむ	사무
元	もと	원래, 처음 상태
企画	きかく	기획
商品開発	しょうひんかいはつ	상품 개발
仕事を探す	しごとをさがす	일을 찾다 (직업을 구하다)
全滅	ぜんめつ	전멸
就職浪人	しゅうしょくろうにん	취업 재수생
浪人	ろうにん	재수생
大学院に進む	だいがくいんにすすむ	대학원에 진학하다
心理臨床	しんりりんしょう	심리 임상
選択	せんたく	선택
卒業後	そつぎょうご	졸업 후
臨床心理士	りんしょうしんりし	임상 심리사
資格	しかく	자격
取得	しゅとく	취득
再び	ふたたび	다시, 재차
就職活動に臨む	しゅうしょくかつどうにのぞむ	취직 활동에 임하다
甘く見る	あまくみる	쉽게 보다, 얕보다
まさか	まさか	설마
文系	ぶんけい	문과
大学院卒	だいがくいんそつ	대학원 졸 (or 졸업생)
登録	とうろく	등록
クビ	くび	목 < 해고
終了	しゅうりょう	종료
ひと月後	ひとつきご	한달 후
無職	むしょく	무직
減らす	へらす	줄이다
方針	ほうしん	방침
延長	えんちょう	연장
一人	ひとり	혼자
選ぶ	えらぶ	선택하다
参る	まいる	오다, 가다 < 곤란하다, 난처하다, (승패)지다
優秀	ゆうしゅう	우수
