word	meaning
だって、もう高校生だもん。	왜냐하면, 이제 고등학생이잖아.
だって、眠くて勉強なんかできないよ。	그래도, 졸려서 공부 같은 건 못 해.
ほら、やればできるじゃん。	봐봐, 하면 되잖아.
そうすると、親が大変じゃん。	그렇게 하면 부모님이 힘들잖아.
たまにはいいじゃん。	가끔은 괜찮잖아.
ありがたいお言葉	고마운(송구스러운) 말씀
お気持ちはありがたいのですが、先約があり、参加できません。	마음은 감사합니다만, 선약이 있어 참가할 수 없습니다.
ありがたいことに、私の家族はみな健康だ。	송구스럽지만, 우리 가족은 모두 건강하다.
わたし、風邪をひいたみたい。のども痛いし。	나 감기 걸린 것 같아. 목도 아프고.
うちの犬はボールが好きみたいだね。	우리 강아지는 공을 좋아하는 것 같네.
お父様はいつも朝、テニスをなさいます。	아버지는 매일 아침 테니스를 하십니다.
どうなさいましたか。	어떻게 하셨습니까?
今日は仕事がたくさんあるので、飲み会に参加できないかもしれません。	오늘은 일이 많아서 술자리에 참석하지 못할지도 몰라요.
走れば終電に間に合うかもしれない。	달리면 막차 시간에 맞출 수 있을지도 모른다.
このカバン、ブランドだし、高いかも。	이 가방, 브랜드제고 비쌀 수도 있어.
現代人にとって、ケータイは生活の一部である。	현대인에게 휴대폰은 생활의 일부분이다.
うちの家族にとって、ココはもうペット以上の存在なのです。	우리 가족에게 코코는 이제 애완동물 이상의 존재입니다.
君にとって一番大切な思い出は何？	네게 있어서 가장 소중한 기억은 어떤 거야?
それじゃ、僕にとって君は何？答えはわからない。	그럼 나에게 있어서 너는 뭐야? 답은 모르겠다.
この問題に答える人は3人にすぎない。	이 문장에 답할 수 있는 사람은 3명에 지나지 않는다.
報道されていることは氷山の一角に過ぎない。	보도되는 것은 빙산의 일각에 불과하다.
私はただのバイトに過ぎないので、詳しいことは分かりません。	저는 단지 아르바이트에 불과하기 때문에 자세한 것은 모릅니다.
彼のスピーチは他の人を真似したにすぎない。	그의 연설은 다른 사람을 흉내낸 것에 불과하다.
今からタクシーに乗ったところで、間に合わない。	지금부터 택시를 타봤자 늦을 것이다.
私がいくら練習したところで、彼には勝てないだろう。	내가 아무리 연습해도 그를 이길 수 없을 것이다.
毎日、料理をするが、料理が上手なわけじゃない。	매일 요리를 하지만 요리를 잘하는 것은 아니다.
たくさんお金があっても、幸せになれるわけじゃない。	많은 돈이 있다고 하더라도 행복하게 될 수 있는 것은 아니다.
お酒が飲めないわけではない。ただ弱いだけ。	술을 못 마시는 건 아니다. 그냥 약할 뿐이야.
不可能なわけではないが、時間がものすごくかかります。	불가능한 건 아니지만 시간이 엄청 걸립니다.
お金持ちだとしても、毎日遊んだりはしない。	부자라고 해도 매일 놀지는 않는다.
どんな家に生まれたとしても、歌手になっただろう。	어떤 집에서 태어났든 가수가 되었을 것이다.
もし彼が私の親しい友人であったとしても、私は彼を許さない。	만약 그가 내 친한 친구라고 해도, 나는 그를 용서하지 않을 것이다.
知っているとしても、話せません。	안다고 해도 말을 할 수 없어요.
何としても合格しなければならない。	어떻게든 합격해야 한다.
