word	meaning
お願いします。	부탁드리겠습니다.
お持ちします。	가져다 드리겠습니다.
お返しします。	돌려드리겠습니다.
ご案内します。 	안내해 드리겠습니다.
ご説明します。	설명해 드리겠습니다.
お邪魔します。	실례합니다.
お電話します。	전화히겠습니다.
あの先生がこの論文を書かれました。	저 선생님께서 이 논문을 쓰셨어요.
社長は11時に会社に来られます。	사장님은 11시에 회사에 오십니다.
なぜ、お酒をやめられたんですか。	왜 술을 끊으셨어요?
きのう、会議に出られましたか。	어제 회의에 나오셨어요?
漢字は難しくて、なかなか読めません。	한자는 어려워서 좀처럼 읽을 수 없습니다.
あなたがいる、ただそれだけで強くなれる。	당신이 있다는 것, 단지 그것만으로 강해질 수 있다.
星が見えない孤独な夜でも信じられる。	별이 보이지 않는 고독한 밤에도 믿을 수 있다.
母に日記を読まれて、困る。	엄마에게 일기를 읽혀서 곤란하다.
与えられた仕事は、ちゃんとこなす。	주어진 일은 착실히 처리한다.
愛されるより愛したい。	사랑받기보다는 사랑하고 싶다.
明治時代においてはまだまだ女性の地位が低かったらしい。	메이지 시대에서는 아직 여성의 지위가 낮았던 것 같다.
御社において忘年会は常務の一環であります。	귀사에서 송년회는 상무의 일환입니다.
卒業式はA会館において行われる予定です。	졸업식은 A회관에서 열릴 예정입니다.
マスコミはある意味において、人を傷つける武器にもなる。	언론은 어떤 의미에서 남에게 상처를 주는 무기가 되기도 한다.
レポートのために、この町の歴史について調べています。	보고서를 위해 이 마을의 역사에 대해 조사하고 있습니다.
この番組について、どう思いますか。	이 방송에 대해 어떻게 생각하세요?
母のレシピにはトマトパスタの作り方について詳しく書いてあった。	엄마의 레시피에는 토마토 파스타를 만드는 방법에 대해 자세히 적혀 있었다.
私は、文学については全く興味がありません。	저는 문학에 대해서는 전혀 관심이 없습니다.
戦争について考えてみる。	전쟁에 대해 생각해 보다.
今更できないなんて、あり得ない。	새삼스럽게 안 된다니 말도 안 돼.
成績なんて、どうでもいい。	성적 따위는 아무래도 좋다.
もう、夏なんて。	벌써 여름이라니.
結婚なんて、したいやつとすればいい。	결혼 같은 건 하고 싶은 놈이랑 하면 돼.
約束した以上、守るべきだと思う。	약속한 이상 지켜야 한다고 생각해.
入社した以上、社則は守らなければならない。	입사한 이상 사칙은 지켜야 한다.
この会社で働いている以上、会社のルールに従っていただきます。	이 회사에서 일하고 있는 이상 회사 규칙에 따라 주셔야 합니다.
学生である以上、勉強を第一にした方がいい。	학생인 이상, 공부를 최우선으로 하는 쪽이 좋다.
パソコンを買うために、バイトをしています。	컴퓨터를 사기 위해 아르바이트를 하고 있습니다.
日本旅行に行くためにお金を貯めている。	일본 여행을 가기 위해 돈을 모으고 있어.
家族を守るためには、何だってする。	가족을 지키기 위해서는 뭐든지 해.
国際会議に出席するため、ドイツへ行きました。	국제 회의에 참석하기 위해 독일에 갔습니다.
