word	meaning
夜中に いきなりさ いつ空いてるのってライン	한밤중에 갑자기 「언제 시간 돼?」냐는 라인 메시지
君とはもう三年くらい会ってないのにどうしたの	너랑은 안 본지 3년이나 됐는데 무슨 일이야
あの頃 僕達はさなんでもできる気がしてた	그 시절 우리는 무엇이든 해낼 것 같았었지
ふたりで海に行ってはたくさん写真撮ったね	둘이서 바다에 놀러가서 사진도 엄청 찍었었지
でもみてよ今の僕を	하지만 봐봐 지금의 나를
クズになった僕を	쓰레기가 된 나를
人を傷つけてまた泣かせても	누군가를 상처입히고 울려도
何も感じ取れなくてさ	아무것도 느끼지 못하게 됐어
別に君を求めてないけど	딱히 너를 원하진 않지만
横にいられると思い出す	옆에 있으면 생각나는 건
君のドルチェ＆ガッバーナのその香水のせいだよ	너의 돌체 앤 가바나의 그 향수 때문이야
今更君に会ってさ	이제 와서 널 만나면
僕は何を言ったらいい	나는 무슨 말을 해야 할까
かわいくなったね	더 예뻐졌네
​口先でしか言えないよ	입발린 말이나 하지 않을까
​どうしたの、いきなりさあ	무슨 일이야 갑자기
​タバコなんかくわえだして	담배 같은 걸 물고 말야
​悲しくないよ悲しくないよ	슬프지 않아 슬프지 않다고
​君が変わっただけだから	네가 변한 것 뿐이니까
でもみてよ今の僕を	그렇지만 봐봐 지금의 나를
​空っぽの僕を	텅 비어버린 나를
​人に嘘ついて軽蔑されて	누군가에게 거짓말하고 경멸당해도
​涙ひとつもでなくてさ	눈물 한 방울도 나오지 않아
別に君をまた好きになる	딱히 다시 네가 좋아진다거나
ことなんてありえないけど	그런 일은 절대로 없을 거지만서도
君のドルチェ＆ガッバーナの香水が思い出させる	너의 돌체 앤 가바나​ 그 향수가 생각나게 해
何もなくても ​楽しかった頃に	가진 게 아무것도 없어도 즐거웠던 그때로
​戻りたいとかは思わないけど	돌아가고 싶지는 않지만
​君の目を見ると思う	너의 눈을 보니까 생각이 나
​別に君をまた好きになる​くらい君は素敵な人だよ	넌 굳이 내가 다시 좋아하게 될 정도로 멋진 사람이야
でもまた同じことの繰り返しって	하지만 또 똑같이 반복해서
​僕がふられるんだ	내가 차이겠지
