word	meaning
これですか？ 会議資料です。データの集計を頼まれて	이거요? 회의 자료입니다. 데이터의 집계를 요청받아서
心がけてること。……正確さと、迅速さ	유의하고 있는 것은 정확도와 신속함
時給をいただいてる以上、時間内で最大限のパフォーマンスをしたいと思ってます。	시급을 받고 있는 이상, 시간내에서 최대한의 퍼포먼스를 내고 싶습니다
森山みくり、25歳。彼女は大学で、心理学を学んでいたという	모리야마 미쿠리, 25세. 그녀는 대학에서 심리학을 배우고 있었다고 한다
なぜ、彼女は今、派遣社員として事務の仕事をしているのだろう	왜 그녀는 지금 파견 사원으로 일하고 있는 것일까
元は、企画や商品開発の仕事を探してて、でも全滅で。	원래는 기획이나 상품 개발의 일을 찾고 있었지만, 전멸했습니다.
就職浪人するよりはと思って、大学院に進みました。	취업 재수를 하는 것보다는 낫겠다고 생각하고 대학원에 진학했습니다.
大学院では心理臨床コースを選択、卒業後に臨床心理士の資格を取得した上で、再び、就職活動に臨んだ	대학원에서는 심리 임상 코스를 선택, 졸업 후에 임상 심리사의 자격을 취득한 뒤, 다시, 취업 활동에 임했습니다.
甘く見てましたね。	쉽게 보였네요.
まさか文系の大学院卒が、こんなに就職できないとは	설마 문계의 대학원 졸업이 이렇게 취직이 힘들다고는
そして彼女は、派遣会社に登録した。	그리고 그녀는 파견 회사에 등록했다.
最初は、やりたかった仕事でもないし、なんで私がって、正直、思ったりもしました。	처음에는 하고 싶었던 일도 아니고, 솔직히 '어째서 제가', 라고 생각하기도 했습니다
森山さん、これ、洗っといて	모리야마 씨, 이거 씻어 주세요.
……はい!	……네!
洗い物は契約業務外です。	세탁은 계약 업무 외입니다.
でも、いちいち揉めるのも面倒なんで、これくらいは	그렇지만, 일일이 비비는 것도 귀찮아서, 이 정도는
ここ、項目増やしてくれる？	여기, 항목 늘려 주시겠습니까?
最初に、確認しましたよね？	먼저 확인했니?
そうだっけ？	맞아?
一から作り直します	처음부터 다시 만들겠습니다.
そりゃあ、不満もあります。	그럼, 불만도 있습니다.
もっと早く言ってくれればとか、合理性に欠けることばっかりとか	좀 더 빨리 말하면, 합리성이 부족한 것일까
でも、そういう不満も含めてのお給料だと思えば、頑張れるし、	그렇지만, 그러한 불만도 포함한 급료라고 생각하면 노력할 수 있고
こう、会社に、社会に？必要とされてるんだっていう感覚が、日々の励みになります。	이렇게, 회사에, 사회에? 필요하다고 하는 감각이, 매일의 격려가 됩니다.
今は、毎日が充実してます！	지금은, 매일 충실하고 있습니다!
