word	meaning
網戸を掃除しましたよね	방충망을 청소하셨죠?
あ、すみません、勝手に	죄송합니다, 멋대로...
あ、そうじゃなくて。	아, 그게 아니라요.
土曜の朝、カーテンを開けたら、いつもより部屋が明るくて、	토요일 아침에 커튼을 열었는데 여느 때보다 방이 밝아서
なんでだろうって思って、ああ、網戸だって。	왜일까 생각해 보니, 아, 방충방이구나 싶어서...
網戸が綺麗なんだって、気が付いて。	방충망이 깨끗하다는 걸 깨닫고.
すごく、気分がよくて。	굉장히 기분이 좋아서.
ありがとうございました。	감사합니다.
森山さんに、家事をお願いして、よかったなって、思いました。	모리야마 씨에게 가사를 부탁하길 잘했다고 생각했어요.
できることなら、ずっと続けてもらいたかったです	가능하다면, 계속해서 해주셨으면 해서요.
私もです！いっそ、住み込みで働きたいくらいです。	저도예요. 아예 여기 살면서 일하고 싶을 정도예요.
雇いませんか？	고용 안 하실래요?
さすがに、嫁入り前の女性を、住み込みというのは	아무래도 시집가기 전인 여성을 들어와 살게 하는 건...
ならいっそ、結婚しては!?	그럼 아예 결혼하는 건요?
結婚と言っても、就職という形の結婚というか、家事代行スタッフを雇う感覚の、契約結婚というか。	결혼이라고 해도, 취직이라는 형태의 결혼이랄까, 가사 대행 스태프를 고용하는 느낌의 계약 결혼이랄까.
あ、あはは、意味わかんないですよね。	아, 아하하, 의미를 모르겠죠?
すいません、突拍子もないこと！	죄송합니다, 엉뚱한 소리를...
冗談です。まったく笑えないけど	농담이에요. 전혀 웃기지 않지만...
あ、ほら、会社！遅刻しちゃいますよ！はい、どうぞ。	아, 회사 가셔야죠. 지각하고 말 거예요. 어서, 자 여기요.
はい、すいませんね、ひきとめて。	죄송해요, 붙잡아서...
ほらほら、遅刻しちゃいますよ！急いで！急いで！いってらっしゃい！	어서 가세요, 지각하고 말거예요. 어서, 어서. 안녕히 다녀오세요.
森山さんは、結婚できると思います。	모리야마 씨는 결혼할 수 있을 거라고 생각해요.
掃除もうまいし、料理だって美味しい。	청소도 잘 하고, 요리도 맛있어요.
あ、ありがとうございます	아, 감사합니다.
気遣いもとてもできる方だと思います	마음 씀씀이도 무척 뛰어난 분이라고 생각해요.
一生分、褒められた気分です	평생치 칭찬을 다 받은 기분이에요.
もし、現在、恋人がいないとしても、あ、いたらすみません。	만약, 지금, 연인이 없다고 해도, 앗, 있다면 죄송합니다.
