word	meaning
今日の分のお給料です。	오늘치 급여입니다.
試算してみたんです。	어림잡아 계산해봤습니다.
家賃水道光熱費等の生活費を折半した場合の収支、	집세, 수도, 광열비 등의 생활비를 절반으로 나눈 경우의 수입/지출,
食事を作ってもらった場合と外食との比較、	식사를 만들어주셨을 경우와 외식과의 비교,
毎週家事代行スタッフを頼んだ時との比較。	매주 가사 대행 스태프를 부를 때와의 비교.
そして、OC法に基づいた専業主婦の年間無償労働時間は2199時間になりますが、	그리고 OC법에 따른 전업주부의 연간 무료 노동 시간은 2199시간입니다만,
それを年収に換算すると304.1万円	그것을 연봉으로 환산하면 304.1만엔
それです。そこから時給を算出し、一日7時間労働と考えた時の月給がこちら、	거기에서 시급을 계산하고, 하루 7시간 노동으로 생각했을 때의 월급이 이쪽.
そして、生活費を差し引いた手取りがこちらで、	그리고 생활비를 제외한 실수령이 이쪽이고,
健康保険や扶養手当を有効利用した場合の試算もしてみました	건강보험이나 보육수당을 유효하게 이용한 경우의 계산도 해봤습니다.
これは『事実婚』の提案です	이것은 "사실혼"의 제안입니다.
戸籍はそのまま、つまり、籍は入れずに住民票だけを移すという方法です。	호적은 그대로, 즉, 호적은 넣지 않고 주민표만 옮기는 방법입니다.
もちろん、諸条件は話し合う必要がありますが、	물론 여러 조건은 협의가 필요합니다만,
試算した結果、事実婚という形で、森山さんをここへ住まわせ、	어림잡아 계산한 결과, 사실혼이라는 형태로, 모리야마 씨를 여기에 살게 하고,
給与を支払い、主婦として雇用することは、	급료를 지불하고, 주부로서 고용하는 것은,
ぼくにとっても有意義であるという結論に達しました。	저에게도 의의가 있을 것이라는 결론에 도달했습니다.
もちろん、どうするかは、森山さん次第でー	물론, 어떻게 할지는 모리야마 씨의 결정에 따라...
やります!雇ってください!	할게요! 고용해주세요!
勢いで、なんとなく一緒に来てしまいましたが、	기세로 어쩌다 보니 같이 와버렸습니다만,
森山さんに、あ、お父様の方の森山さんに、なんて言えば	모리야마 씨에게, 아, 아버지 쪽의 모리야마 씨에게, 뭐라고 말해야 할지...
お嬢さんを、僕にください。	따님을 저에게 주세요.
あ、冗談です。ここは、事実婚と正直に	아, 농담입니다. 여기는, 사실혼이라고 정직하게
通用しますかね	통할까요?
うーん。しません。	음... 아니요.
私の両親、適当なようでいて、そういうところ、普通に古風で	저희 부모님 얼렁뚱땅한 것 같으면서도, 그런 부분은 평범하게 고지식해서
うちもです。いわゆる普通の結婚っていうしかないかもしれません	저희 집도 그래요. 소위 말하는 평범한 결혼이라고 할 수밖에 없을지도 몰라요.
つまり	즉
お嬢さんを僕に…くっ…ハードルが高すぎる	따님을 저에게… 큭… 난이도가 너무 높아요
ですよね。私も雇用主にそこまでしていただくのは	그렇죠. 저도 고용주에게 그렇게까지 부탁드리는 건...
冷静に考えたら、おかしな台詞ですよね、	냉정하게 생각해 보면 이상한 대사예요.
僕にくださいって。物じゃないんだから	'저에게 주세요'라니, 물건도 아니고
確かに、前時代的です	확실히 구시대적이죠.
いまどきはなんて言うんでしょう	요즘에는 어떻게 말하는 걸까요
え？いまどき………。	요즘이요?
ググります	검색해 볼게요.
