word	meaning
こんばんは。本日のテーマは契約結婚です。	안녕하십니까. 오늘의 테마는 계약 결혼입니다.
ゲストに森山みくりさんをお迎えしました	게스트로 모리야마 미쿠리 씨를 모셨습니다.
よろしくお願いします	잘 부탁드립니다.
つい先日、契約結婚をされたとか	바로 얼마 전 계약 결혼을 하셨다는데
はい。きっかけは、就職活動の失敗でした。	네, 계기는 취직 활동의 실패였습니다.
派遣先でも契約を切られて困っていた時、家事代行のバイトをしたんです	파견처에서도 계약이 잘려 곤란해하던 때 가사 대행 아르바이트를 했어요.
その時、家事という仕事の可能性に気づきました	그때 가사라는 일의 가능성을 깨달았습니다.
この提案に、津崎さんが乗ってくれたんです	이 제안에 츠자키 씨가 응해 줬어요.
そして、晴れて、専業主婦として就職することに	그리고 떳떳하게 전업주부로서 취직히기로
こうした雇用形態は男女が逆でも成り立つと思うんです。	이런 고용 형태는 남녀가 반대여도 성립된다고 생각해요.
需要と供給が結びつけば、どんなところからでも仕事は生まれるという	수요와 공급이 결부되면 어떤 곳에서도 일은 생겨난다는...
先ほどお話に出た『事実婚』ですが。	조금 전 말씀 중에 나온 '사실혼'입니다만,
これは『婚姻届を出していない』状態で『同居して生計を同一にしている』場合を指します。	이것은 혼인 신고서를 내지 않은 상태에서 동거하고 생계를 동일하게 하고 있는 경우를 가리킵니다.
何らかの事情で婚姻届が出せない、制度に縛られたくないといった理由から、	어떠한 사정으로 혼인 신고서를 낼 수 없거나 제도에 얽매이고 싶지 않다는 이유로,
事実婚を選択するケースも増えています	사실혼을 선택하는 케이스도 늘고 있습니다.
フランスではわりとポピュラーみたいですね	프랑스에서는 비교적 대중적인 것 같아요.
しかし、日本においてはまだまだ、理解が得られにくいんじゃないでしょうか	하지만 일본에서는 아직까지 이해받기 어려운 것 아닐까요?
はい。それもあって対外的には、普通の結婚として押し進めることに決めました	그런 것도 있어서 대외적으로는 평범한 결혼으로 밀고 나가기로 결정했습니다.
で、問題の結婚式についてですが	그리고, 문제의 결혼식에 대한 겁니다만,
うちの両親、するのが当然って雰囲気でした	저의 부모님은 하는 게 당연하다는 분위기였어요.
うちもです。しかし、実体はただの雇用関係。	저희도요. 하지만, 실태는 그저 고용 관계...
挙式や披露宴は何としても避けたいです	결혼식이나 피로연은 무슨 일이 있어도 피하고 싶습니다.
同感です。ご祝儀なんて受け取れないし	동감이에요. 축의금 같은 것도 받을 수 없고요.
会社でも結婚式はしないのかって問い詰められました。	회사에서도 결혼식은 안 하냐고 추궁당했습니다.
なぜかそのまま、結婚式をするかしないかの意見交換会に	왜인지 그대로 결혼식을 하냐 안 하냐의 의견 교환의 장으로
あっ...異論!反論!オブジェクション!	앗.. 이론! 반론! 오브젝션!
そりゃやるでしょう。	아니, 그거야 하죠!
自分が主役になれる日なんて他にないんだから。やったよ。楽しかった	자기가 주인공이 될 수 있는 날은 달리 없으니까. 했지. 즐거웠어.
いきなりポジティブですね	갑자기 긍정적이시네요.
あんまり参考にならない人です	그다지 참고가 되지 않는 사람입니다.
結婚式って自己満足ですよね。	결혼식은 자기만족이죠?
幸せな姿を見せつけることで納得するっていう。したい人はすればいい	행복한 모습을 과시함으로서 납득하는 것. 하고 싶은 사람은 하면 되는 거죠.
見事な突き放し	멋지게 끊어내네
この人も極端で	이 사람도 극단적이라...
俺は、する派だな。結婚式ってのは、いわばカミングアウトだ。	나는 하는 파야. 결혼식이라는 건 이른바 커밍아웃이야.
世間に向かって、私達は結婚しますと宣言する儀式だ。	세간을 향해, '우리는 결혼합니다'라고 선언하는 의식이야.
宣言した以上、簡単にはひっこめられない。覚悟が生まれる	선언한 이상 간단히는 무를 수 없어. 각오가 생기는 거야.
説得力ありますね	설득력 있네요
基本的にふざけている人なんで、意外でした	기본적으로 장난스러운 사람이라 의외였어요.
裏を返せば、結婚式をしないためには、	뒤집어서 생각하면 결혼식을 하지 않기 위해서는,
それ相応の覚悟を見せなければならない	그에 상응하는 각오를 보이지 않으면 안 된다
会食では、僕の方が主となって話を進めます。	식사 자리에서는 제가 주가 되어서 이야기를 진행하겠습니다.
でないと、うちの父が納得しないと思うので	그렇지 않으면 저희 아버지가 납득하지 않으실 거라 생각해요.
いや。とにかく、何としても双方の両親を説得しましょう	아니요. 어쨌거나, 무슨 일이 있어도 양쪽 부모님을 설득해 봅시다.
